port_name,code,close_m1,close_m2,close_m3
mid-continent - witchita,ICT,mid continent airport,,
addison airport- addison,ADS,addison airport,madison airport,radisson airport
honolulu,HHW,,,
cannon intl - reno/tahoe,RNO,,,
mcallen,MCA,mccalla field,cle,
agana,AGA,astigiana,atna,kanha
newark/teterboro,NEW,new market airport,newcastle aerodrome,newark heath airport
keahole-kona,KOA,,,
otay mesa,OTM,,,
alexandria bay,AXB,alexandria airport,alexandra airport,alexandrovo air base
raleigh/durham,RDU,,,
piegan,PIE,,,
opa locka,OPF,,,
willow run - ypsilanti,YIP,willow run airport,,
alburg,ABG,libr,,
san ysidro,SYS,san isidro airport,swan airport,san isidro air base
jackman,JKM,sackman field,cmn,
highgate springs,HIG,port of highgate springs heliport,highgate airport,alaki hot springs
champlain,CHM,hampton,champ field,
hull field,SGR,hall field,bully field,hub field
hanscom field - bedford,BED,hanson field,,
derby line,DER,derby field,kerby field,derby airfield
bradenton - sarasota,SRQ,denton airport,benton airport,bordertown airport
not reported/unknown,XXX,,,
intl falls,INT,,,
dupage county,DPA,dupage airport,portage county airport,dodge county airport
oakland county - pontiac,PTK,ashland county airport,alexander county airport,stone land county airport
odessa regional,MAF,brooks regional,delta regional airport,ada regional airport
glacier national park,FCA,karijini national park,gan international airport,gabala international airport
suffolk county,FOK,,,
hidalgo,HID,,,
fort myers,FMY,rufforth west,rufforth east,
borinquen - aguadillo,BQN,,,
stewart - orange cnty,SWF,stewart airport,,
kahului - maui,OGG,kahului airport,,
blue grass - lexington,LEX,bluegrass heliport,blue grass airport,
st augustine arpt,SGJ,st augustin airport,san agustin airport,gustine airport
andrews afb,ADW,andrews airport,andreas airfield,andrew airport
moses lake grant county arpt,MWH,moose lake carlton county airport,poso kern county airport,mc lean gray county airport
washington dc,WAS,washington field,warrington field,farington field
westchester - white plains,HPN,westchester county airport,west chester hospital heliport,
madison county - huntsville,HSV,madison county airport,marion county brown field,
theodore francis - warwick,PVD,theodore francis green state airport,,
