state_code,state
MD,Maryland
MA,Massachusetts
AL,Alabama
CA,California
NJ,New Jersey
IL,Illinois
AZ,Arizona
MO,Missouri
NC,North Carolina
PA,Pennsylvania
KS,Kansas
FL,Florida
TX,Texas
VA,Virginia
NV,Nevada
CO,Colorado
MI,Michigan
CT,Connecticut
MN,Minnesota
UT,Utah
AR,Arkansas
TN,Tennessee
OK,Oklahoma
WA,Washington
NY,New York
GA,Georgia
NE,Nebraska
KY,Kentucky
SC,South Carolina
LA,Louisiana
NM,New Mexico
IA,Iowa
RI,Rhode Island
PR,Puerto Rico
DC,District of Columbia
WI,Wisconsin
OR,Oregon
NH,New Hampshire
ND,North Dakota
DE,Delaware
OH,Ohio
ID,Idaho
IN,Indiana
AK,Alaska
MS,Mississippi
HI,Hawaii
SD,South Dakota
ME,Maine
MT,Montana
VT,Vermont
WV,West Virginia
WY,Wyoming
GU,Guam
VI,Virgin Islands
99,All Other Codes
